210.176.38.50, 18200, [4637]
129.250.3.167, 2914, [2914]
87.245.246.101, 24971, [9002]
212.187.138.206, 59605, [3356]
2001:550:0:1000::9a36:2b0d, None, [174]
193.95.129.122, 2110, [2110]
2001:888:2000:83::2, None, [3265]
2a00:1ca0:0:19::2, None, [21413]
62.115.166.226, None, None
2606:2800:4204:f::a, None, None
74.82.51.50, 7642, None
210.173.178.21, None, None
66.171.160.65, 11478, [11478]
130.59.38.178, None, None
2001:418:0:2000::1ae, None, [2914]
69.167.128.61, 32244, None
129.250.3.18, 2914, [2914]
129.250.6.100, 2914, [2914]
2001:470:0:270::1, None, [6939]
2001:418:8400:5000::1e, None, [2914]
80.231.139.2, 6453, [6453]
80.67.4.194, 42708, [42708]
213.144.176.131, None, [6762]
2001:728:0:2000::46, None, [2914]
4.35.80.194, 201011, [3356]
129.250.4.241, 2914, [2914]
129.250.2.176, 2914, [2914]
129.143.60.125, None, None
2001:418:16::101, None, [2914]
2a06:ac00:4100:107::1, None, [41405]
63.218.148.254, None, [3491]
202.249.2.20, 4777, [-574]
2001:19f0:fc00::a49:6, None, [0]
184.105.223.162, 6939, [6939]
63.217.112.122, None, [3491]
185.48.81.79, None, [62094]
195.3.102.54, 21283, [8447]
203.50.11.110, 1221, [1221]
87.245.238.27, None, [9002]
129.143.59.34, 553, [553]
2001:418:0:2000::17a, None, [2914]
96.1.214.149, 852, None
173.252.65.36, 32934, [32934]
77.220.248.75, 62310, None
193.251.128.184, 5511, [5511]
2001:7fa:7:2::4713:1, None, [-389]
2001:558:6000:4::2, None, [7922]
52.93.128.220, None, [0]
187.44.112.81, 28303, None
152.195.112.49, None, None
89.149.137.177, 4436, [3257]
184.105.64.253, 6939, [6939]
129.250.4.118, 2914, [2914]
176.52.254.254, 12956, [12956]
202.90.158.105, None, [9821]
154.54.84.30, 174, [174]
2606:700:1f:212::c7a8:58e5, None, [54054]
130.117.48.138, None, [174]
210.173.176.96, None, [-390]
109.233.180.118, 34288, [34288]
2001:2f8:ffe0:734::2, None, [2907]
10.52.52.166, None, [0]
185.54.120.66, 5539, None
4.69.148.138, None, [3356]
210.171.224.64, 714, None
193.180.242.94, 199150, None
129.250.3.103, 2914, [2914]
2001:418:0:2000::1c1, None, [2914]
129.250.2.66, None, [2914]
2a02:f28::2:34:2, None, [20647]
203.178.141.141, 2500, [2500]
154.54.0.222, 174, [174]
83.231.187.162, 42708, [2914]
2001:470:0:276::2, None, [6939]
185.29.103.139, None, [51859]
64.71.134.142, 29802, None
204.1.253.118, 8151, [2914]
2001:470:0:3f0::1, None, [6939]
192.240.191.167, None, [36444]
134.159.188.102, 24245, None
54.239.46.104, 16509, [0]
63.223.43.2, 3491, [3491]
2a00:c560:c0c0:1a1a::249, None, [62416]
155.12.0.197, 37084, [37084]
62.149.185.27, 31034, None
213.242.112.126, None, [3356]
149.6.177.110, 6730, [174]
193.251.150.199, None, None
2403:bd80:bb00:2003::2, None, [59105]
10.10.0.34, None, [0]
2001:418:0:2000::3b1, None, [2914]
195.187.255.191, 8308, None
202.84.140.226, None, [4637]
2001:470:0:414::1, None, [6939]
207.88.12.197, 2828, [2828]
81.20.68.146, 56630, [2914]
52.95.1.107, 16509, [16509]
216.126.230.1, None, None
2001:1998:0:4::177, None, None
118.143.238.20, 9304, [9304]
2a01:100:1027:68::2, None, [39912]
2620:a8:c000:19::12, None, [32425]
193.51.177.32, 2200, [2200]
2001:608:0:e02::113, None, [5539]
80.231.130.47, None, [6453]
68.86.84.193, 7922, [7922]
129.250.5.188, 2914, [2914]
129.250.9.146, 5511, [2914]
108.59.15.139, 30633, None
72.14.237.127, 15169, None
150.26.248.169, None, [18125]
12.122.28.198, 7018, [7018]
149.12.208.2, 8839, None
2001:2f8:ffe0:3b4::2, None, [2907]
2001:7f8::50a7:0:1, None, [-207]
203.98.42.17, 4768, [9901]
62.115.125.0, 1299, [1299]
213.254.214.14, 4436, [3257]
2001:218:0:2000::175, None, None
157.240.40.154, 32934, [32934]
2001:2000:3018:91::1, None, [1299]
78.152.37.243, 34549, None
130.117.0.134, 174, [174]
2a00:b980:1:19::1, None, [41000]
213.254.215.129, 4436, [3257]
89.149.184.21, 4436, [3257]
10.22.52.6, None, [0]
2001:218:0:4000::3e, None, [2914]
41.75.91.9, 37282, [37282]
212.143.12.32, 1680, [1680]
62.115.112.245, None, [1299]
96.44.180.94, 8100, None
63.218.223.54, None, [3491]
129.250.2.36, 2914, [2914]
2001:504:16::c3a, None, [-728]
2001:470:0:371::2, None, [6939]
2a0d:f400::100, None, None
66.198.154.218, 30633, [6453]
2407:8800:bf00:4:720f:6aff:fe12:6a49, None, [7545]
2001:504:0:4:0:3:2244:1, None, [-230]
54.239.46.0, 16509, [0]
2001:470:0:2dd::1, None, [6939]
85.214.0.37, 6724, None
188.39.127.155, 8468, [8468]
4.69.153.245, 3356, [3356]
108.170.243.129, 15169, None
213.133.203.34, 25040, [13208]
80.91.251.101, 1299, [1299]
2001:388:1:63::1, None, None
2001:4f8:0:2::13, None, [1280]
2001:19f0:fc00::6c3d:259, None, [0]
197.80.4.8, 10474, [10474]
78.25.80.190, 9198, [31133]
185.19.97.30, 20771, [20771]
80.243.57.134, 35065, [21413]
62.115.119.228, 1299, [1299]
12.122.5.198, 7018, [7018]
10.21.21.161, None, [0]
45.222.192.106, None, [37282]
52.95.1.189, 16509, [16509]
217.9.108.198, None, None
62.149.50.137, 6908, [6908]
2001:7f8:39:1:0:c895:0:61, None, [-779]
193.201.42.228, 25040, None
203.190.250.174, 38040, [38040]
12.122.2.50, 7018, [7018]
200.40.98.28, 6057, [6057]
192.240.191.189, None, None
52.94.33.4, 16509, [16509]
150.99.89.185, None, [2907]
62.140.29.66, 8893, [3356]
64.125.28.102, 6461, [6461]
52.94.35.41, 16509, [16509]
91.135.160.113, 39878, [39878]
185.84.18.82, 30844, [2914]
212.227.120.106, 8560, [8560]
2001:1420:d::2, None, [8676]
212.119.27.138, 32787, [2914]
2607:fad0:31:1000::c, None, [32244]
185.43.204.64, 62214, [62214]
129.250.3.123, 2914, [2914]
2a01:390:c:2017::17, None, [29405]
129.250.7.78, 2914, [2914]
2a00:1f78:af:c::2, None, [8893]
