2001:978:2:5b::d:1, None, [174]
2001:470:0:37::1, None, [6939]
37.187.36.199, 16276, [16276]
193.251.254.233, None, [0]
77.109.128.78, 13030, [13030]
100.91.29.71, None, [0]
2800:3f0:4001:81a::2004, None, [15169]
213.239.224.237, None, [24940]
100.91.188.138, None, [0]
80.231.130.129, 6453, [6453]
2001:6e8:41:100:0:8b:0:2, None, [16086]
2400:6500:0:4204:8000:0:6441:981, None, [38895]
100.64.13.76, None, [0]
2001:7f8:19:1::c5c5:1, None, [-67]
52.94.34.254, None, [16509]
2001:680:0:ffff:134:222:49:54, None, [286]
193.51.177.10, 2200, [2200]
2607:f110:0:20::2, None, [21889]
100.91.28.16, None, [0]
2402:7800:0:2::6, None, [4826]
52.93.4.37, 16509, [0]
2a02:0:0:777::1, None, [12684]
213.59.212.231, 12389, [12389]
184.104.193.133, None, [6939]
100.66.10.162, None, [0]
2400:6500:0:4204:8000:0:6442:4d5, None, [38895]
217.78.199.108, None, [16086]
193.247.168.194, 9042, [3303]
100.91.191.43, None, [0]
212.53.144.64, None, [8893]
100.64.10.58, None, [0]
100.66.8.48, None, [0]
2a01:578:0:4102:8000:0:6442:27, None, [16509]
2620:0:1cff:dead:beef::722, None, [32934]
62.141.47.187, None, [24961]
130.244.195.33, 1257, [1257]
100.66.0.166, None, [0]
52.93.132.200, None, [0]
80.249.208.34, 1103, [-23]
206.72.211.106, 29791, [-162]
2804:800:0:4000:8000:0:6442:be, None, [16509]
2a01:578:0:4500:8000:0:6441:e1, None, [16509]
2a01:578:0:4200:8000:0:6442:27, None, [16509]
52.95.60.249, None, [0]
2a01:578:0:ff::11, None, [16509]
50.112.0.92, None, [16509]
100.100.8.93, None, [0]
100.91.28.128, None, [0]
2a01:2b0:0:51::bd, None, [12552]
2001:4170:4018::1, None, [13092]
84.16.6.166, 6762, [12956]
100.91.130.223, None, [0]
52.93.142.115, None, [0]
108.170.251.49, 15169, [15169]
2001:1900:5:3::126, None, [3356]
217.31.205.97, 25192, [25192]
100.91.25.144, None, [0]
100.91.163.70, None, [0]
100.91.189.49, None, [0]
100.91.18.112, None, [0]
83.97.88.66, None, [21320]
210.4.72.46, None, [24122]
2001:9b0:18:302::1, None, [8473]
100.66.0.123, None, [0]
100.91.11.144, None, [0]
89.221.41.187, 6762, [6762]
2001:1498:1:7c9::1, None, [12956]
12.122.130.170, 7018, [7018]
217.198.243.246, 2857, [2857]
212.237.248.15, 48854, [48854]
77.109.128.68, 13030, [13030]
52.93.128.140, 16509, [0]
115.254.118.148, 18101, [18101]
52.94.81.215, None, [16509]
2a00:1188:4::4602, None, [8455]
46.33.81.25, 4436, [3257]
2a01:578:0:4009:8000:0:6442:890, None, [16509]
203.98.42.17, 4768, [9901]
216.6.90.14, 6453, [6453]
2620:107:4008:2f3::1, None, [0]
100.66.3.174, None, [0]
2001:1900:5:2:2::4302, None, [3356]
213.242.120.237, None, [3356]
195.130.45.62, 8670, [8670]
2001:558:e0:403::2, None, [7922]
2001:4860::c:4000:ce41, None, [15169]
54.239.53.60, 38895, [16509]
87.226.182.154, 9198, [12389]
188.39.127.186, 8468, [8468]
121.78.38.138, 9286, [9286]
2a01:578:0:4102:8000:0:6442:2d, None, [16509]
80.81.194.190, 31042, [-207]
209.58.124.6, 4755, [6453]
2804:800:0:4000:8000:0:6442:ca, None, [16509]
193.251.254.55, None, [0]
54.239.111.236, 16509, [16509]
46.33.85.138, 16509, [3257]
52.93.9.178, None, [0]
2001:728:0:5000::1587, None, [2914]
41.222.1.26, 36991, [36997]
2404:138:39:8::2, None, [38022]
54.239.106.35, 16509, [0]
100.91.189.68, None, [0]
185.86.232.73, None, [56357]
4.68.111.253, None, [3356]
2001:638:c:c028::2, None, [680]
54.239.43.1, -1, [0]
2a02:2178:0:7b::2, None, [29075]
2001:668:0:3:ffff:1:0:38e, None, [3257]
100.64.17.129, None, [0]
2001:7f8::62cb:0:1, None, [-207]
144.232.25.228, 1239, [1239]
52.93.21.73, None, [0]
2a01:578:0:4102:8000:0:6442:47, None, [16509]
100.66.11.104, None, [0]
100.91.9.146, None, [0]
2001:7f8::787c:0:1, None, [-207]
100.91.196.11, None, [0]
2a00:1ca0:0:13::2, None, [21413]
100.91.159.5, None, [0]
