2001:1438:300:6e::2, None, [8881]
2001:668:0:2:ffff:0:5995:87c2, None, [3257]
223.120.2.5, None, [58453]
2001:418:0:2000::1be, None, [2914]
2a01:d0:0:36::1, None, [29632]
2a00:1188:4::3201, None, [8455]
2001:9b0:1:315::2, None, [8473]
198.104.202.50, 7752, [2914]
38.88.196.194, 29930, [174]
140.222.236.55, 701, [0]
203.131.243.86, None, [2914]
2607:f480:1ab3:2::3, None, [27435]
172.31.188.0, None, [0]
66.230.78.193, None, [17054]
4.68.62.205, 3356, [3356]
2400:6180:0:d0::3d:b001, None, [14061]
2001:418:0:2000::79, None, [2914]
193.51.188.9, 50897, [2200]
2001:550:3::15d, None, [174]
2a02:2d8:1:7004:232a::1, None, [9002]
2001:770:1c:11::c101:c98c, None, [1213]
10.11.33.70, None, [0]
129.250.6.101, 2914, [2914]
2001:2000:3018:90::1, None, [1299]
213.180.200.186, 13238, [13238]
2001:730:2800::5474:e727, None, [6830]
52.46.94.104, None, [16509]
4.7.49.41, None, [3356]
129.250.6.96, 2914, [2914]
2001:218:4000:5000::349, None, [2914]
2607:b580:1:21::16, None, [19754]
2400:cb00:28:1024::6ca2:f41c, None, [13335]
108.170.241.33, 15169, [15169]
2001:2000:3080:da1::1, None, [1299]
213.254.222.26, None, [3257]
212.156.252.68, None, [9121]
2a02:1800:10:2104::3, None, [6848]
52.94.83.184, 16509, [16509]
2001:6b0:1e:1::13f, None, [1653]
2001:978:2:22::26:2, None, [174]
194.72.16.241, None, [2856]
213.200.117.26, None, [3257]
89.221.34.113, 3216, [6762]
197.148.71.5, 37497, [37497]
118.91.255.4, None, [45753]
62.73.169.34, 39326, [2914]
2001:8000:0:2000:3001:6001:0:a, None, [1221]
208.109.112.126, 26496, [26496]
2a01:500:0:b::1, None, [39537]
2001:668:0:3:ffff:0:4d43:5a63, None, [3257]
151.231.254.196, None, [5607]
216.184.112.2, None, [12956]
100.120.229.5, None, [0]
2400:8800:3f10:3::2, None, [3491]
2803:6940:200:1::2, None, [61512]
149.14.10.2, 13194, [174]
119.29.86.1, None, [45090]
2001:978:2:bd::7:2, None, [174]
2001:5a0:fff0:100::25, None, [6453]
2001:7f8:4::1a15:1, None, [-437]
202.97.95.153, None, [4134]
66.109.6.37, 7843, [7843]
2001:450:2001:1000:0:670:1616:8083, None, [3549]
180.87.39.102, 58601, [6453]
2001:c10:80:1::a62, None, [7473]
2001:550:0:1000::9a36:279d, None, [174]
176.67.177.233, 10474, [10474]
80.255.14.6, 201011, [201011]
2a00:12d0:1080:1::2, None, [13101]
2001:1420:0:2::2, None, [8676]
27.85.199.10, 2516, [2516]
221.176.19.209, 9808, [9808]
4.69.151.185, 3356, [3356]
45.164.114.146, None, [268614]
2001:41a8:5400:2::29, None, [6762]
2620:107:4000:9001::77, None, [0]
166.49.195.102, None, [5400]
2a02:1648:1:d511::, None, [49375]
2620:0:1cff:dead:beef::1210, None, [32934]
2001:978:2:2c::148:1, None, [174]
200.87.253.40, 6568, [6568]
2001:558:0:f71e::1, None, [7922]
103.199.104.76, None, [45753]
64.125.31.3, 6461, [6461]
95.142.111.70, 34106, [8455]
81.210.177.192, None, [6830]
212.194.171.141, 5410, [5410]
91.212.242.251, 199436, [49420]
2400:dc00:fc00:49::2, None, [23947]
211.50.124.70, 9457, [3786]
150.222.65.85, None, [0]
2602:304:cdae:d041::1, None, [7018]
2001:500:14:6074:ad::1, None, [42]
185.75.28.136, None, [39326]
2403:5000:a144:b165:1::a, None, [9304]
154.54.59.182, 174, [174]
2804:4c0:ffff:fb0f::2, None, [3549]
2001:978:3::1ae, None, [174]
4.69.161.114, 3356, [3356]
137.164.11.65, None, [2152]
213.249.105.18, None, [3356]
52.93.17.22, 16509, [0]
52.95.64.209, None, [38895]
2001:728:0:4000::12, None, [2914]
2001:e28:2:4::1, None, [7543]
31.22.87.26, None, [8455]
91.223.159.7, None, [41405]
2001:620:0:c00d::1, None, [559]
200.152.248.58, None, [25933]
2a02:2528:2:2d::2, None, [25091]
2001:1890:ff:ffff:12:122:120:203, None, [7018]
193.141.27.220, None, [202040]
17.253.15.201, None, [6185]
129.250.4.201, 2914, [2914]
62.115.141.39, 1299, [1299]
129.250.6.182, None, [2914]
208.185.155.166, 13739, [6461]
2001:218:2000:5000::935, None, [2914]
2001:1900:2100::1f4a, None, [3356]
195.175.16.178, 42910, [9121]
212.156.140.152, None, [9121]
2620:107:4000:9000::b, None, [0]
63.218.69.110, None, [3491]
2a02:10:0:1::113:1, None, [24785]
2001:558:6000:4::2, None, [7922]
2a00:47c0:411:f006::2, None, [44568]
216.239.63.232, 15169, [15169]
88.81.100.49, None, [39093]
2001:418:0:5000::470, None, [2914]
153.146.171.81, 4713, [4713]
128.241.3.213, 2914, [2914]
2001:728:0:5000::9c1, None, [2914]
62.115.138.23, 1299, [1299]
154.54.57.213, 174, [174]
208.104.116.178, 14615, [14615]
17.253.5.206, None, [6185]
219.158.97.177, None, [4837]
46.238.123.34, None, [13110]
93.152.179.1, None, [31250]
149.6.137.98, 62113, [174]
203.105.72.205, 2914, [2914]
154.54.24.222, 174, [174]
77.70.40.1, None, [35141]
2400:cb00:35:1024::a29e:a25a, None, [13335]
2.120.11.1, 5607, [5607]
64.125.25.52, None, [6461]
2001:550:2:e::6:1, None, [174]
14.199.254.249, None, [9269]
2a02:568:100:100::2, None, [8763]
112.174.85.22, 4766, [4766]
2001:8b0:bed2:a532::1, None, [20712]
77.67.71.218, 8151, [3257]
101.4.113.109, 4538, [4538]
203.105.72.174, None, [2914]
154.54.25.150, 174, [174]
2a01:578:0:13::28, None, [16509]
2001:1890:ff:ffff:12:122:30:133, None, [7018]
201.220.8.181, 27781, [27781]
96.34.3.120, 20115, [0]
85.95.27.101, 15412, [15412]
2001:1900:5:2:2::7cd, None, [3356]
197.211.127.89, None, [37187]
213.248.84.54, None, [1299]
65.175.128.4, 32448, [32448]
202.97.52.25, 4134, [4134]
2001:728:0:2000::180, None, [2914]
