2a06:1280:ae02::ff2e, None, [61138]
2001:888:1:4001::2, None, [3265]
65.61.96.188, None, [30340]
10.20.128.37, None, [0]
2a03:90c0:a0:1:254::155, None, [199524]
80.91.246.162, 1299, [1299]
66.230.78.193, None, [17054]
2620:107:4000:9001::76, None, [0]
2001:7f8:73::bab2:0:1, None, [-803]
184.105.213.218, 6939, [6939]
162.151.85.70, 7922, [7922]
2001:1670:9::2a, None, [28885]
2001:620:0:c00d::1, None, [559]
207.88.13.21, 2828, [2828]
2804:3b0:8000:29::2, None, [53062]
213.239.245.217, 24940, [24940]
196.14.20.203, 37663, [3741]
195.2.24.154, 1273, [1273]
194.0.1.13, None, [45671]
94.142.98.240, 12956, [12956]
154.54.39.117, 174, [174]
2a01:4a0:0:2054::22, None, [201011]
193.5.122.13, 12874, [0]
2620:107:4000:9000::11, None, [0]
129.250.11.38, 24245, [2914]
2001:b00:1:1:1::1b1, None, [12874]
2001:218:0:2000::19a, None, [2914]
193.65.45.86, 790, [790]
195.130.45.58, 8670, [8670]
2404:a800:5a00:105::2, None, [9498]
151.6.7.231, 1267, [1267]
2001:728:0:2000::252, None, [2914]
52.93.134.158, None, [0]
2001:7f8:1::a500:8764:1, None, [-150]
81.17.35.73, None, [0]
168.167.252.46, 14988, [14988]
88.86.96.45, None, [39392]
138.44.129.154, None, [7575]
129.250.4.70, 2914, [2914]
2a02:2330:c:7::2, None, [12578]
10.2.1.1, None, [0]
217.239.46.138, 3320, [3320]
2001:d18:1:1::105, None, [9821]
216.66.74.58, 18451, [6939]
129.143.59.242, 553, [553]
2804:204:600:92::2, None, [28186]
2001:7c0:3:ff01::2, None, [553]
195.2.25.30, 1273, [1273]
10.222.63.231, None, [0]
128.0.113.132, None, [199610]
154.54.24.222, 174, [174]
207.189.176.243, 19271, [19271]
43.241.139.153, 38740, [23955]
2001:4860:0:7d::5, None, [15169]
62.115.113.84, None, [1299]
62.115.58.14, 38082, [1299]
91.216.219.18, None, [15954]
2a02:2f00:8708:2:1:0:7:0, None, [8708]
2001:688:0:3:7::c2, None, [5511]
209.85.255.252, 15169, [15169]
2a02:2d8:0:102d:232a::1, None, [9002]
109.105.102.103, 1741, [2603]
184.104.208.106, None, [6939]
2400:dc00:fc00:75::2, None, [23947]
178.21.17.19, 50673, [50673]
109.105.97.56, 2603, [2603]
202.177.40.23, None, [38195]
2001:728:0:2000::8a, None, [2914]
134.0.219.197, 174, [8529]
137.164.27.61, None, [2152]
2001:620:410:ffc6::1, None, [559]
2001:4600:0:100::5, None, [2119]
2001:468:ff:e47::2, None, [11537]
172.16.20.1, None, [0]
2620:107:4000:9000::36, None, [0]
2a00:1a28:1:2019::2, None, [42708]
2a02:e90:200:105::128, None, [15389]
2a00:11c0:47:1:47::172, None, [47147]
2003:0:1309:400b::1, None, [3320]
2001:7f8::223c:0:3, None, [-207]
2a04:1b00:4::1, None, [61005]
2c0f:fbf0:c:7::103, None, [32653]
2001:470:0:2ea::1, None, [6939]
2001:550:0:1000::9a36:4df6, None, [174]
2001:578:1200:4::37, None, [22773]
2001:e68::b:4014, None, [4788]
96.110.36.106, None, [7922]
102.163.100.12, None, [30999]
154.54.42.89, 174, [174]
2001:6b0:1e:1::115, None, [1653]
58.138.80.154, None, [2497]
80.249.208.125, 1299, [-23]
2a00:b340:0:4::4, None, [0]
2a05:fdc2:8000:1::1, None, [42313]
2607:f4d0:800:4::2, None, [17054]
192.168.69.89, None, [0]
219.158.96.29, 4837, [4837]
103.84.153.114, None, [36236]
85.92.104.1, None, [21769]
62.216.128.213, 15412, [15412]
185.150.252.250, None, [52039]
2001:2000:3018:9b::1, None, [1299]
2a03:4d41:510:1::2, None, [199610]
213.46.182.18, 23520, [6830]
2001:648:2ff2:101::1, None, [5408]
2001:b28::ac12:1, None, [42065]
52.94.35.7, 16509, [16509]
130.59.80.2, None, [559]
62.149.50.122, 6908, [6908]
184.105.80.114, 6939, [6939]
213.206.174.172, None, [15945]
83.97.88.154, 559, [21320]
4.69.160.73, 3356, [3356]
155.12.0.218, 37084, [37084]
195.29.3.46, 5391, [5391]
160.36.1.237, None, [3450]
fc00::22:0, None, [0]
193.75.1.68, 2116, [2116]
2a00:114f:ffff:10:1::2, None, [47764]
162.252.70.159, None, [0]
2001:1900::3:180, None, [3356]
62.115.114.92, None, [1299]
151.6.2.30, None, [1267]
84.116.221.86, 6830, [6830]
2001:7f8:1::a501:6347:1, None, [-150]
2001:1900::3:187, None, [3356]
137.164.26.208, 2152, [2152]
2a03:7400:1100:74::3, None, [39642]
2402:8100:8::, None, [55644]
4.69.159.90, 3356, [3356]
67.16.144.30, 4323, [3549]
203.109.130.42, 9500, [9500]
213.128.159.14, 12731, [12731]
196.26.0.188, 3741, [3741]
2001:1900:5:3::275, None, [3356]
200.160.6.19, None, [22548]
2001:948:1:12::20, None, [2603]
2c0f:fc00:0:6::95, None, [3741]
80.239.132.226, 14907, [1299]
2001:240:bb5c:100f::cafe, None, [2497]
2001:688:0:2:8::a8, None, [5511]
84.116.134.230, 6830, [6830]
184.105.213.69, 6939, [6939]
212.85.149.42, None, [29075]
154.54.58.233, 174, [174]
2001:728:0:5000::26a, None, [2914]
212.187.165.246, 6453, [3356]
2001:7f8:1::a502:9169:1, None, [-150]
2001:2000:3018:ad::1, None, [1299]
162.252.70.145, 11537, [0]
2a01:3e0:fff0:400::3a, None, [6453]
2001:468:fc:37::1, None, [11537]
2001:730:2c00::5474:fe23, None, [6830]
193.189.122.254, 35285, [35285]
129.250.8.134, 2914, [2914]
2001:504:0:2:0:3:2244:1, None, [-235]
